date,investment_annualassetgrowth,value_bmratio,turnover_onemabturnover,profitability_PMU,profitability_PMUTTM,volatility_threeyearmv,volatility_threemonthv,momandrev_lagelemreturn,volatility_twoyearmv,momandrev_onemonthreturn,size_mktcap,investment_quarterlyassetgrowth,turnover_twelvemturnover,illiquidity_illiquidity,volatility_oneyearmv,volatility_sixmonthv,profitability_roe,volatility_onemonthv,volatility_twelvemonthv,accruals_noas,value_epratio,value_cpratio,volatility_MAX,accruals_accruals
2000-01-04,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,,,-0.0087014483789144,,,,-0.0295766226420437,0.008799253722353299,,-0.007830127976879101,0.0021201344223502998,,-0.016100515228915403,-0.0003276664492147009,-0.0235245742428934,-0.029579647173221597,,-0.026974509131380504,-0.0408034648573664,,-0.0018830829637464987,,0.026770342315192097,
2000-01-11,,,-0.015620454141139405,,,,0.010693755232488302,0.021634738066622902,,-0.010847349630566695,0.005324949695764504,,-0.013101779537361004,-0.011071238848906102,-0.014137732906172006,0.014672278963705494,,0.000985367212931,0.013895410680739899,,0.006529763986773497,,-0.00044146907313119543,
2000-01-12,,,0.012443350232493499,,,,0.022955646538605396,0.010934547833850398,,0.004657864975022304,0.012786433084536697,,0.006003695530696802,-0.0001445690315944985,0.0180974268868338,0.015814532314625002,,0.030165430989470898,0.022200692114411297,,0.0054361823580782,,-0.016209620888396597,
2000-01-13,,,0.003678617669168301,,,,0.005069773400232,0.0008191570053911988,,0.0064590798950693,0.0013234765033031002,,0.010892580767939301,0.0030166187075312007,0.0050712553446679,0.0128443823710762,,0.0079782467366333,0.015920261519276897,,-0.0035151421470174995,,-0.0121241315417911,
2000-01-14,,,-0.012473043398913999,,,,-0.0006226881859712,0.009207085821307,,-0.016559706184706598,-0.004021646645542401,,0.0021793396025649985,-0.0061365781449905,-0.0011384198766542005,0.001361599032747799,,0.002150849269776999,0.0036204338690466013,,-0.0004215712662746004,,-0.0006512541322645001,
2000-01-17,,,-0.0241820824453273,,,,-0.013233525519252599,0.0039318236160796015,,-0.0247330852097521,0.0065012215393820995,,-0.0203188554067796,-0.012150028192732499,-0.007275116821187999,-0.011496390498961598,,-0.020151192041197297,-0.009330613387171201,,0.0005728278599543002,,0.028239478555372,
