factors,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,LongShort
size_mktcap,0.13031517231284637,0.10873414053437437,0.09335307482686916,0.09330253270574353,0.07665821253952193,0.073689296044805,0.07045867759666143,0.06658086086026531,0.07089794919506398,0.04446969489044297,0.08584547742240367
value_epratio,0.03311893133115625,0.07971947335679364,0.08385467023858724,0.046651393620526393,0.052890764414317996,0.034404852886122,0.030842809323632016,0.04567753834814748,0.04657931101694004,0.06895583271644591,0.03583690138528965
value_bmratio,0.01047399279217812,0.04752617889255691,0.044492356648316876,0.028266721524403415,0.028065586442747963,0.04272899407529186,0.06770393797654362,0.06605767400582215,0.015510373375459588,0.07501149873804738,0.06453750594586927
value_cpratio,0.0343947510553688,0.04366913801763661,0.02082818659871296,0.018881553393175474,0.06105885775231602,0.0707582259736081,0.08441961004447801,0.10898338606765583,0.05814707078931905,0.10314222686491044,0.06874747580954163
profitability_roe,0.06058157667522965,0.08120056367965602,0.07838855042135734,0.08561855629146736,0.0808273806807767,0.0701212451522248,0.04637451749196378,0.06499486222535199,0.055293899865169284,0.06727664925833993,0.0066950725831102275
profitability_PMU,-0.050040672636770096,-0.01005867764363962,0.005850631490043825,0.019128376317752646,0.023741701715111186,0.045146916606517304,0.019635723223616758,0.08802194344146332,0.15637071803717648,0.18766861790051642,0.23770929053728668
profitability_PMUTTM,0.003411258752548457,0.03508873090551321,0.057591058066188056,0.05702590717443174,0.05861354681834278,0.04507119446028148,0.06638914243849763,0.04519844540261584,0.1333592288474375,0.15721515787581558,0.1538038991232668
volatility_MAX,0.03704132646430122,0.058402898176402235,0.07545959137117383,0.06356141380625739,0.07390226573358283,0.06270505343565773,0.03961488487218014,0.0579176858079062,0.05267810786985453,0.049317467610928326,-0.0122761411466271
volatility_onemonthv,0.03518387527229546,0.05193125917332407,0.08359944530071223,0.07168799690712117,0.07821190728236739,0.08680336414595222,0.05151747369448951,0.10877169971058569,0.04192191702333187,0.008708290013134747,0.026475585259160696
volatility_threemonthv,0.04595946904919246,0.0760937916738978,0.079758311289464,0.04920753694681949,0.08791317641531557,0.07272581457323589,0.03874077726726988,0.06636454787523657,0.03823551849903065,0.0015345314743121941,0.04442493757488031
volatility_sixmonthv,0.04481254777998235,0.07782150221769303,0.07618433947794154,0.08268169067768918,0.0677609417381622,0.052170308747045646,0.07974027270926089,0.03024317099900923,0.0232070832362526,-0.015711006895547677,0.06052355467552997
volatility_twelvemonthv,0.04624008554413707,0.0996221848332235,0.07736323006938516,0.0745055762309521,0.09209854686658883,0.056020740164362814,0.05380427446064499,0.03709147488901579,0.053329277729095875,-0.006227653818923632,0.05246773936306067
volatility_oneyearmv,0.059950707898938034,0.05890528087847214,0.08974553207737745,0.06288755123932897,0.04017198576748621,0.0873461511305482,0.061896255968227384,0.04155550046044263,0.06740213709115658,0.024085065588738148,0.03586564231019994
volatility_twoyearmv,0.047846186635282,0.05116268271191059,0.06729347722311657,0.053042092775605565,0.06599048883166778,0.06186679146213187,0.05822631277059517,0.04851935206537182,0.03168553928978559,0.0018582240721470818,0.04598796256313497
volatility_threeyearmv,0.05729830585463801,0.07425169802517925,0.06075864230117782,0.06491929282647027,0.07345243167660727,0.07873046191851411,0.048440887801634705,0.04859578980245779,0.04466360136684683,0.008303365717689365,0.048994940136948675
investment_annualassetgrowth,0.02216396640774814,0.03267436240239449,0.048973992125028246,0.03256802797386673,-0.0009716299724156774,0.039663938611400745,0.05238989812816996,0.06871005444144669,0.06774380220570536,0.06427792172778847,0.04211395532004027
investment_quarterlyassetgrowth,0.009825718269631025,0.0004572205301488529,0.014456071133547374,0.030194911612567873,0.020887278573561516,0.05767831731500521,0.08943895821075018,0.09595893049390186,0.08493441386123661,0.11521148479686692,0.10538576652723616
accruals_accruals,0.04473624883108819,0.05388537141227815,0.0668387817138695,0.06564712123703231,0.05165238934327837,0.05724448084156545,0.050532155452193,0.045037848085943126,0.04216693266813,0.04144544670367683,0.0032908021274114293
accruals_noas,0.05234736993551349,0.0736929708537884,0.06576202719899771,0.09065559056161844,0.06922438106209604,0.08382794144839116,-0.0008863278948029231,0.052832630003708456,0.023584881033736606,0.06374603105695227,-0.011398661121438773
illiquidity_illiquidity,0.01720736380120933,0.03767627355182782,0.06463355600763314,0.0851038961195745,0.07351167391072806,0.10208858233785445,0.09430878280821255,0.09900265974114172,0.12278764769271727,0.09063571010841867,0.0734283463072094
turnover_twelvemturnover,0.0546079471878271,0.0686526339763897,0.09040610868372573,0.09276519823042374,0.08579077237125658,0.06901297020454371,0.06947536589443284,0.04475833896287305,0.04587541312890057,-0.013176282768060902,0.06778422995588801
turnover_onemabturnover,0.07414082791097676,0.08021557077573148,0.08409745248133554,0.09821259781972984,0.0835096259603715,0.07474015144503587,0.086637164723043,0.05996338182665109,0.010949895103085703,-0.08671640120790164,0.16085722911887862
momandrev_onemonthreturn,0.08912286311990007,0.09158660074606924,0.07489665608041195,0.0517270215321123,0.06083766125882234,0.0752393346837689,0.06680957916089852,0.07013594045510259,0.045621888212360795,-0.0151261964909945,0.10424905961089456
momandrev_lagelemreturn,0.017566223446167848,0.048279087981682046,0.040001740905269124,0.04968625822355369,0.06689332547369681,0.0451407295984047,0.053317904279429645,0.06904680055121244,0.08294828988995266,0.07954146457703813,0.0619752411308703
