factors,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,LongShort
size_mktcap,1.9261496229006767,1.6230234658803095,1.4057130558956266,1.4204433856996144,1.1925153894379084,1.1670391517035457,1.133385734368855,1.1032826395409092,1.2192953618429125,0.8858436341565677,1.6292243255831267
value_epratio,0.5375605213907773,1.2851472387384473,1.383481826571968,0.7747282116969303,0.904671511402627,0.5980016375950539,0.5603017142130112,0.8308806463175189,0.8834274031771814,1.30710045905313,0.7579759920377229
value_bmratio,0.17027770269987189,0.7453885221188733,0.6827494893914963,0.43900744422455484,0.44890419086794403,0.6661490484667433,1.0923430037906836,1.0956764577276614,0.27347699827984395,1.4056137426480109,1.1827192453782005
value_cpratio,0.582321734599568,0.715068018185717,0.3348141953239171,0.30287682512158126,1.0069153305082663,1.1489046661867082,1.4304228361585587,1.8200859554624655,0.9907962597058284,1.8577372372617795,2.5854069033140634
profitability_roe,0.8443470806332233,1.1755278018004522,1.1281569826979183,1.3043746921434614,1.2528163873440836,1.072652332508669,0.7462492290547724,1.088384888341494,0.9182120537524772,1.0592249084325585,0.156795248828078
profitability_PMU,-0.7363426970200758,-0.15392780791914398,0.09033184907140566,0.2997757379993365,0.37593501630029347,0.7241888726785188,0.33096437237106213,1.4649462647791567,2.6107429499889623,3.160990692277637,5.615853695723859
profitability_PMUTTM,0.04851662681723847,0.5294413521084002,0.8956100395059884,0.8810600951205775,0.9606220318941132,0.6947889686951705,1.0878416089740397,0.7502665962489875,2.183811931779634,2.7047432604203334,3.3384333326974387
volatility_MAX,0.839417715068889,1.1618264720366434,1.4180442124675898,1.156196596628308,1.2830047134206535,1.0812849310680352,0.6656274375785333,0.9450950191251776,0.8288185004068116,0.740609069695764,-0.27167540550564684
volatility_onemonthv,0.8435620916197262,1.0596434054140291,1.5572249977046946,1.2700029309243333,1.3384659395147633,1.4308117919326824,0.8328357301460091,1.6785886036160074,0.6122307164171452,0.11941863202739902,0.4694830752644585
volatility_threemonthv,1.1147284759673957,1.5492028504877868,1.5126278808285367,0.8730594025003121,1.5076765032566475,1.2127555879582819,0.6085459758092391,1.0037225351171941,0.544280671576184,0.02052725870432235,0.7550756092646205
volatility_sixmonthv,1.0673753167416584,1.5882060512940723,1.4473131901067788,1.4735139868650822,1.1750532815561539,0.8550119785168466,1.2528582524962095,0.45764479936788016,0.3414395807366324,-0.20739098759835592,1.031859347597157
volatility_twelvemonthv,1.1093696315027108,1.9578874470403729,1.4561406133226567,1.3462887055434902,1.5808632671324045,0.9256106322721237,0.8398025273239716,0.5639675773846052,0.7716785480936156,-0.08399528575602158,0.9267632287989755
volatility_oneyearmv,1.3764377075237126,1.171821218178477,1.6731641214687696,1.1259717688388953,0.7010468041796453,1.4902004407233311,1.0164057392903925,0.6504954948905564,1.027926168382208,0.3477888589581098,0.7298897930796667
volatility_twoyearmv,1.0772828773076994,0.9960233801374727,1.2123530206322555,0.9405913924054085,1.118845312994523,1.0241838889117352,0.9310674573344483,0.7579134364784527,0.47735608573029836,0.026496871042859905,0.9100596259317483
volatility_threeyearmv,1.1849782700713734,1.352477588022018,1.0659380526186706,1.0969085012350952,1.1928566485784906,1.231598457897913,0.7454041216001444,0.7175340102145639,0.6453146281750213,0.11393272567233864,0.9433696067537356
investment_annualassetgrowth,0.36091188729012297,0.5776410616055822,0.9099966959793723,0.6134549019016378,-0.018567434833409557,0.7091981839940321,0.9184360283386594,1.1461192440704642,1.1036066353104037,1.0033913439555127,1.2885505224365241
investment_quarterlyassetgrowth,0.15187177731875248,0.0075706509332018924,0.2511407277998883,0.5277861501936648,0.3667209738619329,1.0178444177465678,1.5311855245114532,1.6259307016191706,1.3942705511702955,1.7825887761712416,3.833720212136876
accruals_accruals,0.822369745735617,0.9223113026245334,1.118857937622907,1.0749773895721342,0.8251107413745549,0.9103876661872592,0.8062886696263385,0.730791603100255,0.6888113249857734,0.6713228557864744,0.10137259836874375
accruals_noas,1.016663780041743,1.2571852332829305,1.0721919490934124,1.4590463479189382,1.1085634932995143,1.3104251499492694,-0.01475423560883721,0.84717643974134,0.38234661489303867,1.0354317125350367,-0.2762301597129454
illiquidity_illiquidity,0.33587971165338437,0.6892540288653917,1.0985514219986272,1.4432995658353127,1.2515586001766852,1.7099993745705921,1.621391634271729,1.7303916448789811,2.157112984802564,1.6171221189337799,1.6675660155502123
turnover_twelvemturnover,1.157039730314067,1.2981633276726976,1.6742600845742326,1.6568856458736334,1.5162588553078749,1.1821247297952489,1.1521899947390617,0.7191930531986368,0.6958399539786475,-0.18549509935516528,1.2808441943808175
turnover_onemabturnover,1.3804546668899575,1.5245906176644333,1.5798602918051468,1.8272836034032254,1.5663048692836636,1.4064988765832653,1.5324602542620247,1.0173517871203301,0.18185871138455767,-1.3142708747865113,3.967287938439787
momandrev_onemonthreturn,1.3982465060653448,1.5754431023799695,1.2920728622960305,0.9243088821478079,1.1162045344804044,1.4028006453414403,1.201008727945632,1.2492464636740264,0.8044684247965626,-0.24015766503950658,2.05773964759313
momandrev_lagelemreturn,0.29372275130798353,0.865162980817593,0.7313001641753178,0.9148066299228529,1.231171101875405,0.8184285245031581,0.9454917834756109,1.1961377031748404,1.3767233801010166,1.247589527012159,1.2840430381176475
