factors,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
size_mktcap,0.10826763137044573,0.08639266370073093,0.07151122395425442,0.07256260806003216,0.057655852082657756,0.05680545970133882,0.056082127318483346,0.055216772311565576,0.062707179606115,0.041479394530869275
value_epratio,0.02496393354441427,0.06665037032671611,0.06743090399430915,0.02836640334222787,0.03371897316970076,0.014409308380565927,0.012400185250373471,0.028794149709478238,0.03440886393305147,0.06300740148481802
value_bmratio,0.0015097346368054799,0.03095034482595574,0.024647719383973647,0.006567256773445199,0.005264348276779482,0.02040203448962539,0.04661342731998282,0.048059800497460385,0.0018180256326675098,0.06938388231314745
value_cpratio,0.02462928600341473,0.029052045107151203,0.0055971632926237885,0.003980842827366468,0.0466891738698257,0.0558474859610317,0.06860064492884328,0.09344630970417782,0.04349681336466755,0.09355290179913853
profitability_roe,0.050534720609364314,0.06712457463645974,0.06298402779486681,0.06982462549583193,0.06431628916136972,0.05294841889299427,0.03136997079758433,0.05084693153315621,0.04246685893480401,0.05833472456051499
profitability_PMU,-0.058353582687423876,-0.021815327920168954,-0.00718971983503713,0.005438809999031233,0.009667218129380942,0.03105225741569119,0.0058095796298856485,0.07527005768330944,0.14504504946803376,0.1800736263716785
profitability_PMUTTM,-0.0029326065918202637,0.025706839149949083,0.04655324714281544,0.04492955991667552,0.04656396887928037,0.03273767560843196,0.054178902607994406,0.0342005912191852,0.12325203661887182,0.1511073311791401
volatility_MAX,0.009658535744881208,0.013690097522164572,0.028028018556265674,0.01504367188638683,0.02551591676623338,0.015559061103450933,-0.005705611357483415,0.01624492322083261,0.017049067407157746,0.022925280717545612
volatility_onemonthv,0.0150659949954234,0.005930548169421187,0.0305855671195305,0.015261558987167195,0.020933715862568984,0.029443985884864122,-0.004129679784524056,0.05593610483615709,-0.00393597028331213,-0.01820805638617859
volatility_threemonthv,0.0362646996626584,0.05033998051652664,0.04742343907440709,0.012995847202847917,0.049820829457392135,0.034356346193280145,0.00168893493583952,0.03254853770228574,0.010587542951185925,-0.012943938734982684
volatility_sixmonthv,0.03767285978006868,0.05946511043703862,0.05353892643314542,0.056776553869663245,0.040656550387949825,0.024776195965852028,0.05345380597844901,0.006078696530379361,0.0035085822788800654,-0.026517610952986326
volatility_twelvemonthv,0.04109725573704885,0.08624590850142852,0.06051741598521103,0.05600162116015743,0.07225937348021726,0.03585808768448612,0.03442474965183158,0.019291773733325183,0.03849304718369469,-0.014967251200847246
volatility_oneyearmv,0.030833002065139347,-0.00038212021856258845,0.02606221160657065,-0.0029460750548194552,-0.02597091089873539,0.021173124419587165,-0.002610328267784613,-0.019364874103968987,0.013834360528711068,-0.006758361631301647
volatility_twoyearmv,0.023154159541093674,-0.004031495617406487,0.006314103020980538,-0.01020084026571916,0.0015824046410173307,-0.002072949523636684,-0.003635975003422756,-0.010862432668971293,-0.02141064359051838,-0.028512179059242422
volatility_threeyearmv,0.035169016245595895,0.021252718118106695,0.0008459379229042219,0.002693450791030357,0.010482565848825953,0.01594789724355524,-0.013364999913376203,-0.01054919033380257,-0.00845030194572369,-0.02106188865758827
investment_annualassetgrowth,0.015069046531678778,0.023466717766963865,0.039218756114723356,0.020938960085096776,-0.011818851824941351,0.029884892905290054,0.042409564623573086,0.05943615799707435,0.059174603162005485,0.057787376983613185
investment_quarterlyassetgrowth,-0.0005336582647039442,-0.01219069126452969,0.002113280671147597,0.01613324019573582,0.0057993729833797315,0.043059646845257586,0.07536456116449086,0.08234519436519874,0.07289565203519324,0.10506171369956736
accruals_accruals,0.04123490193858491,0.04548581049493791,0.057170738457175865,0.054804402286261544,0.04055328294017314,0.0463655855040262,0.03971635251684748,0.03501903196447601,0.033219652158674576,0.035906056288442074
accruals_noas,0.047532768778426576,0.06391124511683838,0.05422038152316158,0.07819577121340131,0.05577923301802943,0.07106269448301626,-0.013612354650251778,0.0403477323318913,0.01253676348058722,0.055905301564507084
illiquidity_illiquidity,0.00850189718390365,0.009923350131494622,0.02854298073107386,0.04399924987665058,0.030301544802987933,0.058486540787617114,0.05211480982938144,0.060488917353306706,0.09103245310792393,0.07379144629632067
turnover_twelvemturnover,0.05109796292680831,0.0588789039745468,0.07883833431650901,0.07944573031720706,0.07198724222496077,0.05473221032195419,0.05527689602241037,0.031329741310474855,0.03433483789802509,-0.020542632348406066
turnover_onemabturnover,0.053757779845595544,0.03965475163558769,0.035446525098538795,0.04628220108385747,0.030367404127056102,0.022145254471199464,0.03429761230849074,0.0113212370500767,-0.030247234639769787,-0.10891512179561366
momandrev_onemonthreturn,0.04407896475836928,0.029723540167734767,0.0091254219069048,-0.0154875726036782,-0.007042547426362801,0.007650297510651326,-0.00022092662081739904,0.005363915873517003,-0.014502577343548059,-0.05612529442185193
momandrev_lagelemreturn,-0.0012798245770221331,0.01197624543457157,-0.0035365039543550753,0.0038618582424757766,0.020309867878382255,-0.001058327841869565,0.009748697346613362,0.0294926050205431,0.05082930031570207,0.06377725528780673
