trade_date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
2000-01-04,,,,,,,,,,
2000-01-05,,,,,,,,,,
2000-01-06,,,,,,,,,,
2000-01-07,,,,,,,,,,
2000-01-10,0.013534203982452078,0.009020310529413435,0.02261189882621982,0.014299633438077577,0.01963025010223972,0.020903044010998583,0.02131536802360629,0.03314740904166813,0.02857835280810454,0.02233345770480536
2000-01-11,-0.04706435152898902,-0.05226061102922531,-0.04738027174615487,-0.042894488852152315,-0.03566845913670097,-0.04591837598892709,-0.04490142950190664,-0.038674556945148604,-0.036407476194585175,-0.02542961346236619
2000-01-12,-0.031354758207079975,-0.029984166896775487,-0.02010944826181741,-0.028691038993835762,-0.02992173985503171,-0.033099511941485915,-0.02771971458871642,-0.027435901539534593,-0.03124439570239955,-0.02042021037322958
2000-01-13,-0.011026466680770864,-0.006860627491627361,-0.008386667466570056,-0.01011724250099619,-0.010062408615087842,-0.008682710364323562,-0.010360887032315731,-0.01240028202653656,-0.0010268306832344285,-0.01020730967537963
2000-01-14,-0.012340672060053702,-0.014169794074259683,-0.009707651299260508,-0.012381022871217489,-0.012694013013481513,-0.013639771595473065,-0.010924669749251669,-0.0090925191832287,-0.005191023948642035,-0.003133586238746759
2000-01-17,0.01170005574704217,0.015727815298132643,0.01853137807653737,0.021816614963721167,0.017618900701867217,0.01648221218717996,0.02276358441825117,0.02176866417629882,0.015384861290619252,0.01563187936312174
2000-01-18,-0.0038559407071257533,-0.0025761278322521254,0.0031798942875911696,-0.005434899137975616,-0.0013577253430695773,-0.004511273804420461,-0.002681525818048185,-0.0030563034484774676,-0.0002907579867897885,-0.0002449635351260773
2000-01-19,0.009364594090167747,0.01057632799660249,0.01569525556567106,0.015897852888956843,0.007887154168305857,0.00740496676078781,0.01632252835634762,0.004542560043984081,0.010833163983593132,0.022244196962289613
2000-01-20,0.010397388792801932,0.010015123121813142,0.014582892479416422,0.01538165241953089,0.014251510427796776,0.018068941005821557,0.020057312944599164,0.022704032321955406,0.033035563378151334,0.02228413165342752
2000-01-21,-0.010123346945713875,-0.011017263675476655,0.00039675723115580627,-0.007662728661039607,0.004025731096351102,-0.0005086682110432179,0.017009909058342508,0.0036645800795748807,0.023324721215187826,0.015108949104925535
2000-01-24,-0.00252636679022806,0.008580263357418157,0.00533001119462648,0.008449834639509407,0.0057717156861298415,0.029236490326704237,0.012352246414583119,0.016792753891765204,0.030086653312907097,0.02446597669939666
