window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2019-09-29', '2019-10-06']",0.00010653051323193237,0.00011027760293501823,0.0001060233810624632,7.573733412260062e-05,8.191798273630094e-05,0.00010814529111557649,7.007861578192117e-05,9.190273582222523e-05,7.079749816424828e-05,3.1917711882699395e-05
"['2019-10-06', '2019-10-13']",2.2508468379171123e-05,3.562966955091883e-05,5.160571317345051e-05,3.4312171697160564e-05,7.652738559554999e-05,6.437558064031749e-05,4.098554944503422e-05,4.127696220608449e-05,5.1168139056159676e-05,1.8115414480260855e-05
"['2019-10-13', '2019-10-20']",4.089278895448295e-05,8.278574724379035e-05,0.00012030908775140784,5.0219492685044903e-05,9.001247023695488e-05,9.321909473915629e-05,7.32889765100513e-05,0.00010118663994838751,9.57374275900102e-05,3.084343520230651e-05
"['2019-10-20', '2019-10-27']",6.211260994625558e-05,6.89773339788348e-05,7.839074249111057e-05,6.841952241484783e-05,0.00011720058285136071,0.00010173797045516196,4.560517335357154e-05,6.377677296540278e-05,0.00011828601735886922,4.597686394513476e-05
"['2019-10-27', '2019-11-03']",0.0001248061697616804,0.00017709311500285218,0.0002025341520676351,0.00012656482849069441,0.00021396095430806377,0.0003581158389104596,0.00016554792499507142,0.00018671625366084723,0.0002858806792918041,6.953900899280879e-05
"['2019-11-03', '2019-11-10']",0.00020080789928549108,0.00031195937534720265,0.0004337299531364433,0.0005817830475907352,0.0007253935530140185,0.00045462663632377364,0.00033118902191793965,0.0003338522204491412,0.000423054043104364,0.00013345039413299031
"['2019-11-10', '2019-11-17']",6.0437992036626746e-05,6.468406075618573e-05,5.1920320382370906e-05,4.071928062589574e-05,0.00018795544197160923,7.513006831517878e-05,4.533090630254193e-05,5.9414501933864444e-05,0.00015001946164268522,7.107005297783311e-05
"['2019-11-17', '2019-11-24']",6.512006648166392e-05,7.221570371023429e-05,6.712131197028693e-05,4.963020533380315e-05,4.618608516887262e-05,4.9868777046952286e-05,3.8251431538526074e-05,6.023875198551449e-05,0.00015339805347716227,7.355775204285476e-05
"['2019-11-24', '2019-12-01']",6.673372353849344e-05,6.416536068718383e-05,5.640054813784023e-05,5.8762128599946316e-05,6.257668451834265e-05,0.00016799574035254326,5.287438433650535e-05,6.408365719848307e-05,6.883557267517496e-05,2.8897374149674545e-05
"['2019-12-01', '2019-12-08']",5.3907094437590144e-05,6.51414931672446e-05,6.840582348571143e-05,3.9403372880008746e-05,5.465643053597095e-05,4.953200579877911e-05,3.0333101789118366e-05,4.401795050610626e-05,4.8507124889528984e-05,2.7036448947303568e-05
"['2019-12-08', '2019-12-15']",5.719221157634407e-05,5.3934026504045034e-05,4.268400026025906e-05,3.616229130201161e-05,5.2082701139991356e-05,4.106300250994728e-05,3.0473902253046514e-05,4.029651361719678e-05,5.535081546938074e-05,2.378334212386494e-05
"['2019-12-15', '2019-12-22']",4.899285170644135e-05,0.00013080010434409056,0.000124011552172319,5.9603606834109335e-05,7.299721026013829e-05,5.542353161084852e-05,0.00018094413946810183,0.00026231507850684875,4.093631529375802e-05,2.7444863440659114e-05
"['2019-12-22', '2019-12-29']",7.927747648940421e-05,0.00012703387379415699,0.00013428230783158444,4.9349054829745126e-05,6.96514556135211e-05,6.186864767124946e-05,2.9624865815698138e-05,6.277359380014618e-05,3.984588628782353e-05,2.69800744354096e-05
"['2019-12-29', '2020-01-05']",4.671920978137758e-05,6.140420514185767e-05,9.313212438060006e-05,6.678423534912199e-05,0.0001947785506536667,0.0001720998635407476,0.00019241942947220667,0.0002689532067636202,4.8858792285205025e-05,2.9184152858230878e-05
"['2020-01-05', '2020-01-12']",5.274702781450604e-05,6.559608883994496e-05,4.7217881043199895e-05,4.766224959529494e-05,7.833858009004995e-05,5.8066202930033084e-05,0.00019303474654389498,0.000266887097562571,5.892109275744811e-05,4.002070920860012e-05
"['2020-01-12', '2020-01-19']",8.089151148985168e-05,0.000314849072199099,0.00034864755093518647,5.59289453568505e-05,0.00017106534982732933,7.606714534835342e-05,0.00019542824576636018,0.000261455538142296,6.44835471214277e-05,3.009327597019545e-05
"['2020-01-19', '2020-01-26']",0.00010113649417535953,9.957560117781077e-05,0.00010332683407558413,4.124946694103465e-05,7.062372476679665e-05,0.00018053326623162822,0.00021181026132410346,0.00029875296519189104,0.0002451237691841528,5.034393512621328e-05
"['2020-01-26', '2020-02-02']",0.00010299833030943197,0.00010030937872306562,0.0001505046468037554,7.928919314055693e-05,0.0002065681514964178,0.00021906924724791993,0.00023255894976498094,0.00034882238850151285,0.00027849607552856613,7.719344209783979e-05
"['2020-02-02', '2020-02-09']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2020-02-09', '2020-02-16']",0.00010094534447231614,0.0001310282545247479,0.0002452170034480182,0.00017087902301676265,0.00023999525883276914,0.0001434351411718367,9.706057306788898e-05,0.0001155478979954991,0.0001700430648525195,9.326004945424059e-05
"['2020-02-16', '2020-02-23']",0.00011305196849305009,0.0001378588493907491,0.00021047802211139843,0.0001204007206150883,0.00011047576998485985,0.00018224880639308404,8.269281682092508e-05,0.0001008042303164824,0.00016290976445122144,7.61622350008674e-05
"['2020-02-23', '2020-03-01']",0.0001304385256059774,0.0001954662905351073,0.00017093926366569496,7.769563052972162e-05,0.00020788245105585824,0.00020696217643439155,0.00011647434958898838,0.00015013276038960784,0.00017805914963575994,0.0002692393786154462
"['2020-03-01', '2020-03-08']",0.0002656736979733415,0.00040698443411224717,0.0005147460809311673,0.0002497446297139339,0.000332427243984459,0.0003721271467590685,0.0001775316181213283,0.0002193715004133802,0.00042886705496491054,0.00022424475927565848
"['2020-03-08', '2020-03-15']",0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
"['2020-03-15', '2020-03-22']",0,0,0,0,0,0,0,0,0,0
"['2020-03-22', '2020-03-29']",0,0,0,0,0,0,0,0,0,0
"['2020-03-29', '2020-04-05']",0,0,0,0,0,0,0,0,0,0
"['2020-04-05', '2020-04-12']",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
