window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2018-01-07', '2018-01-14']",0.0013293557414006316,0.0015016456069335202,0.0014771588249154024,0.0015063644644893461,0.0013619543421588243,0.0014526653798866871,0.0011470914176050547,0.0014603993005961535,0.0011501921820011851,0.00139830965670209
"['2018-01-14', '2018-01-21']",5.235593888704112e-05,7.40444363969806e-05,9.957216939232843e-05,7.03681405106476e-05,0.00020140535251220778,0.0004026702033040234,0.0003575846129890562,0.00012666415599573095,8.580954761100814e-05,5.8769420004461026e-05
"['2018-01-21', '2018-01-28']",9.014871255306604e-05,6.979402718063446e-05,0.00010050345180182877,8.742734665142901e-05,0.0001947452851990214,0.00018088169503147823,0.00015044489878058545,0.0001588539728522098,0.00012969917962013001,4.9291222029545444e-05
"['2018-01-28', '2018-02-04']",3.906417670204616e-05,5.570999741301684e-05,3.9382638372955676e-05,4.064810849270175e-05,6.328328778708007e-05,8.940545198865255e-05,0.0001249473437167978,6.183765221203918e-05,8.217007054125278e-05,4.924507393032362e-05
"['2018-02-04', '2018-02-11']",0.0001028744657114015,9.309004034232424e-05,0.00012113043482617977,9.392588330392826e-05,0.00015671075721957045,0.00015704597915122817,0.00015703496472589874,0.00010998060227010992,0.00010773874282167477,6.985726767546874e-05
"['2018-02-11', '2018-02-18']",8.129340026671925e-05,9.183050233878576e-05,6.885853943178492e-05,7.077589292551791e-05,0.00010142308918568139,9.028114942108988e-05,0.00014872898999693473,0.00018349715036362636,0.00011020277802983834,7.510015626402151e-05
"['2018-02-18', '2018-02-25']",3.7473108504011804e-05,3.1472746097765336e-05,5.921871034896527e-05,6.174748653021135e-05,9.737672397709885e-05,0.00037475457426555106,0.00027810740947308173,9.652653057003181e-05,0.00012404229256219676,3.415182447193712e-05
"['2018-02-25', '2018-03-04']",3.405242302454594e-05,2.515613857849504e-05,2.6153677068728752e-05,4.643089186088059e-05,3.785990745222253e-05,4.2857992568116504e-05,0.00029628843384752574,0.00014999088836031686,6.071573498841493e-05,4.129534693723212e-05
"['2018-03-04', '2018-03-11']",6.758912359344413e-05,5.41139087781839e-05,0.00011958823051097472,7.027653387102062e-05,0.00014176694180417093,8.593719596753647e-05,0.00032081150217771163,0.00018140634200271408,0.00013384793327834808,5.8940314521439697e-05
"['2018-03-11', '2018-03-18']",6.294499250278773e-05,5.771223232058038e-05,9.407514592540937e-05,0.0001481041663635773,0.0002372574155385825,0.00014430187678104016,0.00010259612049289899,7.292781437783928e-05,7.858348109852716e-05,6.594985294009024e-05
"['2018-03-18', '2018-03-25']",4.335279379148597e-05,5.997760499121771e-05,9.659463776716792e-05,8.362387490610458e-05,6.986153421972977e-05,7.108835858308944e-05,6.405868024753258e-05,9.029671749156358e-05,0.00022162051574538922,0.00020945259823134006
"['2018-03-25', '2018-04-01']",7.549730537474517e-05,0.00010703670794129803,0.0002018278521084332,0.00021195078521413837,0.00023019148596825737,0.00010930230364486363,6.342733814154367e-05,9.446292143610417e-05,9.538602240728218e-05,7.63218278606304e-05
"['2018-04-01', '2018-04-08']",6.0344026077610784e-05,6.420709260072025e-05,0.0001267116514923593,0.00021700020360199227,0.00034829847247978,0.00013621041074763453,0.00011154418337644423,0.00010085435064755149,0.00010584659875101313,7.279109024044275e-05
"['2018-04-08', '2018-04-15']",0.0014392332113717082,0.0014783379468118125,0.0015189898986010452,0.0015285406214831663,0.0014644362607450067,0.0014970573932671428,0.0015252291251024563,0.001387577678909518,0.0014356998325215043,0.0013327946792080889
"['2018-04-15', '2018-04-22']",7.487186490544449e-05,5.718727968700654e-05,5.194066773216973e-05,0.00010525410848469913,9.640907046507718e-05,0.00011243004499383446,8.267248343500662e-05,7.50563636609241e-05,5.41915619758023e-05,5.035497673135323e-05
"['2018-04-22', '2018-04-29']",6.099073391260143e-05,6.5154568611992e-05,4.295168246366104e-05,9.596506955282138e-05,4.366070256164174e-05,5.2045404035324424e-05,5.383923942429866e-05,9.209312412439405e-05,8.206177031009193e-05,6.239844620446503e-05
"['2018-04-29', '2018-05-06']",6.771751594321627e-05,0.0001009227705242799,0.00010445699992964808,0.0001405783809872845,0.00012822723370296596,0.00013870854477769206,0.00012655802967520766,9.649540298974055e-05,6.924704064640846e-05,5.739163981271696e-05
"['2018-05-06', '2018-05-13']",8.421285576102259e-05,7.948465914972642e-05,5.862165713246893e-05,9.089626462962497e-05,7.549847837526235e-05,6.813645361981847e-05,6.21725404414421e-05,8.003751676230827e-05,6.801912413059888e-05,0.00014336796045317585
"['2018-05-13', '2018-05-20']",8.459106068276123e-05,8.232792790583392e-05,5.459574628087016e-05,7.284946727199226e-05,6.26003306017663e-05,6.512511477151714e-05,8.643012430133867e-05,0.00010039639689855525,7.551173076242899e-05,6.802800961615402e-05
"['2018-05-20', '2018-05-27']",4.454006893962917e-05,5.6063862305920945e-05,5.108863086955186e-05,7.904884938372491e-05,5.030406789901983e-05,5.623834611616078e-05,9.048829913750844e-05,8.300046477942553e-05,7.919930460101622e-05,5.718990631939177e-05
"['2018-05-27', '2018-06-03']",7.104904604764369e-05,6.0764067230473524e-05,3.59695173799064e-05,6.666225097222586e-05,7.411589549415461e-05,7.63646729124226e-05,8.869040769882862e-05,9.806375016234666e-05,8.487434462628759e-05,6.328785540162207e-05
"['2018-06-03', '2018-06-10']",8.05823990495971e-05,0.000117463962564198,0.0001157136198600227,0.00016371972661358337,8.666691654957045e-05,0.00010464325382588061,0.00015333761261697822,0.00020818497704229064,0.00012284230610592765,9.899439962780315e-05
"['2018-06-10', '2018-06-17']",7.712465662095794e-05,0.00012228974655968425,7.355603070710268e-05,0.00010865607009418845,5.3214109873047735e-05,5.5435240287624264e-05,8.63989460379895e-05,0.0001905717463397895,7.811860200128385e-05,6.115642333353016e-05
"['2018-06-17', '2018-06-24']",7.484891392302721e-05,9.090270183556807e-05,4.6899368313902895e-05,5.795696290935823e-05,5.347545230318793e-05,5.2250762958297834e-05,0.00015443393298517308,8.42634426337125e-05,7.238988011528874e-05,0.00014029302526182016
"['2018-06-24', '2018-07-01']",0.0001099221110220054,0.00011003988507162844,6.479745305484272e-05,0.00014506720722741684,0.00011687562518922143,9.273869156376618e-05,9.305664878542367e-05,0.00012981453989985062,0.00010204070941227554,6.213322235133615e-05
