window_period,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
"['2017-02-05', '2017-02-12']",0.04495988280667278,0.04606193002971401,0.05819294191885779,0.054859780080406595,0.08611817339542208,0.07910776673289903,0.06834530579181589,0.06091769272347183,0.056378495696408196,0.028616143032125098
"['2017-02-12', '2017-02-19']",0.07195630053734178,0.12300691946398729,0.17878941825045372,0.26081404920978307,0.15483680213915768,0.18132532615281483,0.21020560577730335,0.171514618135841,0.12539817842153328,0.04726311601444339
"['2017-02-19', '2017-02-26']",0.0435620041394562,0.096959369819411,0.13041963640699938,0.202757129962037,0.15964540105842973,0.14488136129973045,0.16662409627227748,0.11826744715874549,0.16272604708120258,0.05681209965711928
"['2017-02-26', '2017-03-05']",0.045403170775021276,0.14981968554336028,0.17529691409098153,0.21001295981204401,0.2165615249344363,0.17214761191104505,0.1931300478764403,0.09757054098009471,0.10816100594921078,0.06473473368737069
"['2017-03-05', '2017-03-12']",0.05337206176138618,0.1410384577297282,0.1913860076642842,0.1205965815375868,0.1267080046892966,0.1598960473696741,0.1432348968347179,0.1286853115463223,0.1002699397690886,0.05009688344080521
"['2017-03-12', '2017-03-19']",0.0388766616543769,0.07046201631370042,0.11270179179106551,0.10992140890103902,0.12966848787175939,0.1647145712019939,0.12174874841652912,0.1095483321578645,0.13139272625709622,0.1008578180089052
"['2017-03-19', '2017-03-26']",0.0444209193601654,0.08207177973019858,0.09005505969860048,0.1863300601145882,0.1474462590323652,0.1643002077279414,0.1204955488501126,0.11264696068755405,0.09218754575766658,0.05074321728260698
"['2017-03-26', '2017-04-02']",0.053967845714686796,0.09847085749488874,0.0905994108361687,0.107299907971625,0.1562556397889649,0.1683937290471898,0.1618980242268552,0.12157246805857687,0.11069289288290139,0.058128074840249
"['2017-04-02', '2017-04-09']",1.8595017953410287,1.941893899973818,1.9736008493233443,1.8393693942409766,1.702903124229513,1.7967922090549813,1.86581892376339,1.9088569035844873,1.6994963935226992,1.7377573820341827
"['2017-04-09', '2017-04-16']",0.08643384875673622,0.15883582318147182,0.1882990807653579,0.1719542058477892,0.23653659938995664,0.21895556860754228,0.17620414863453146,0.15766192154801678,0.0814658775626997,0.08265611778991662
"['2017-04-16', '2017-04-23']",0.0904245859233991,0.25322157224104436,0.3170552742610968,0.297017690971495,0.3271353311642857,0.33592077627827543,0.3185760813886899,0.2377669511544248,0.155920805792712,0.0554450966535862
"['2017-04-23', '2017-04-30']",0.12205656638176211,0.2210159224005796,0.23836461523715124,0.3220857695187641,0.26322152089634365,0.20736034180131283,0.2629445858172679,0.26437584112638146,0.1534975758853723,0.08540869130194531
"['2017-04-30', '2017-05-07']",0.10426131211177661,0.2034525421985264,0.19925261178462134,0.2115384006001026,0.22832587803192,0.21123445809882702,0.12804689884016351,0.2935635079336283,0.22745106795878411,0.07523636250189397
